Method,Name,Error,Occurrences
POST,/api/v1/chat/completions (non-stream),"CatchResponseError('Failed with 500: {""error"":{""code"":""INTERNAL_ERROR"",""message"":""An internal error occurred"",""request_id"":""198e0c8d-c2b7-4b46-b535-6dcf7c1cf0fe"",""details"":null}}')",1
POST,/api/v1/chat/completions (non-stream),"CatchResponseError('Failed with 500: {""error"":{""code"":""INTERNAL_ERROR"",""message"":""An internal error occurred"",""request_id"":""ce4b0020-b402-4f75-802f-51b853299c74"",""details"":null}}')",1
POST,/api/v1/chat/completions (non-stream),"CatchResponseError('Failed with 500: {""error"":{""code"":""INTERNAL_ERROR"",""message"":""An internal error occurred"",""request_id"":""5b80d778-5aa6-4357-bad4-9e8831d38611"",""details"":null}}')",1
POST,/api/v1/chat/completions (non-stream),"CatchResponseError('Failed with 500: {""error"":{""code"":""INTERNAL_ERROR"",""message"":""An internal error occurred"",""request_id"":""5419810f-6f2c-46c6-9b25-06e390acaeea"",""details"":null}}')",1
POST,/api/v1/chat/completions (non-stream),"CatchResponseError('Failed with 500: {""error"":{""code"":""INTERNAL_ERROR"",""message"":""An internal error occurred"",""request_id"":""caf9924f-c2db-4bb1-8500-222498c0d8a8"",""details"":null}}')",1
POST,/api/v1/chat/completions (non-stream),"CatchResponseError('Failed with 500: {""error"":{""code"":""INTERNAL_ERROR"",""message"":""An internal error occurred"",""request_id"":""2d222e58-9fff-4056-bee5-372e797dff62"",""details"":null}}')",1
POST,/api/v1/chat/completions (non-stream),"CatchResponseError('Failed with 500: {""error"":{""code"":""INTERNAL_ERROR"",""message"":""An internal error occurred"",""request_id"":""727d3d5e-aa41-43c6-b50c-70257b899370"",""details"":null}}')",1
POST,/api/v1/chat/completions (non-stream),"CatchResponseError('Failed with 500: {""error"":{""code"":""INTERNAL_ERROR"",""message"":""An internal error occurred"",""request_id"":""47aa1aa8-f03d-4549-a495-e34a156ef7d7"",""details"":null}}')",1
POST,/api/v1/chat/completions (non-stream),"CatchResponseError('Failed with 500: {""error"":{""code"":""INTERNAL_ERROR"",""message"":""An internal error occurred"",""request_id"":""b9a90fee-e076-40e5-bfda-22538459496d"",""details"":null}}')",1
POST,/api/v1/chat/completions (non-stream),"CatchResponseError('Failed with 500: {""error"":{""code"":""INTERNAL_ERROR"",""message"":""An internal error occurred"",""request_id"":""dacea905-a62d-418b-b8e0-975b2df7281f"",""details"":null}}')",1
POST,/api/v1/chat/completions (non-stream),"CatchResponseError('Failed with 500: {""error"":{""code"":""INTERNAL_ERROR"",""message"":""An internal error occurred"",""request_id"":""bde34094-71da-463b-a98a-4d60aceb074f"",""details"":null}}')",1
POST,/api/v1/chat/completions (non-stream),"CatchResponseError('Failed with 500: {""error"":{""code"":""INTERNAL_ERROR"",""message"":""An internal error occurred"",""request_id"":""fdd99bbb-ba51-426d-9bf9-308095232320"",""details"":null}}')",1
POST,/api/v1/chat/completions (non-stream),"CatchResponseError('Failed with 500: {""error"":{""code"":""INTERNAL_ERROR"",""message"":""An internal error occurred"",""request_id"":""cf634fae-39b0-4adf-b474-cfb9f29ba237"",""details"":null}}')",1
POST,/api/v1/chat/completions (non-stream),"CatchResponseError('Failed with 500: {""error"":{""code"":""INTERNAL_ERROR"",""message"":""An internal error occurred"",""request_id"":""222737cb-43de-4bae-9b76-8f62ad56a0fd"",""details"":null}}')",1
POST,/api/v1/chat/completions (non-stream),"CatchResponseError('Failed with 500: {""error"":{""code"":""INTERNAL_ERROR"",""message"":""An internal error occurred"",""request_id"":""eb8e6527-94d3-4134-b826-1e9d2c2195d5"",""details"":null}}')",1
POST,/api/v1/chat/completions (non-stream),"CatchResponseError('Failed with 500: {""error"":{""code"":""INTERNAL_ERROR"",""message"":""An internal error occurred"",""request_id"":""11ef97bf-605f-43da-9ca7-42eda02c84bd"",""details"":null}}')",1
POST,/api/v1/chat/completions (non-stream),"CatchResponseError('Failed with 500: {""error"":{""code"":""INTERNAL_ERROR"",""message"":""An internal error occurred"",""request_id"":""aa5a88c1-9200-4fe8-a1fc-859d89ce1b56"",""details"":null}}')",1
POST,/api/v1/chat/completions (non-stream),"CatchResponseError('Failed with 500: {""error"":{""code"":""INTERNAL_ERROR"",""message"":""An internal error occurred"",""request_id"":""ef4e6c0c-bb5e-4f7f-85eb-8735e77c36b8"",""details"":null}}')",1
POST,/api/v1/chat/completions (non-stream),"CatchResponseError('Failed with 500: {""error"":{""code"":""INTERNAL_ERROR"",""message"":""An internal error occurred"",""request_id"":""1f07b600-dbed-4567-b564-e5ea1f748f84"",""details"":null}}')",1
POST,/api/v1/chat/completions (non-stream),"CatchResponseError('Failed with 500: {""error"":{""code"":""INTERNAL_ERROR"",""message"":""An internal error occurred"",""request_id"":""45bb732d-9639-434c-9a8a-86e031ff531c"",""details"":null}}')",1
POST,/api/v1/chat/completions (non-stream),"CatchResponseError('Failed with 500: {""error"":{""code"":""INTERNAL_ERROR"",""message"":""An internal error occurred"",""request_id"":""07036e66-76e0-4f0c-b732-f40ea0c164e7"",""details"":null}}')",1
POST,/api/v1/chat/completions (non-stream),"CatchResponseError('Failed with 500: {""error"":{""code"":""INTERNAL_ERROR"",""message"":""An internal error occurred"",""request_id"":""f1c4aa92-e8fe-4de4-b64a-17965dd75df6"",""details"":null}}')",1
